y,b,prop_B_mantida,prop_O_mantida,prop_Y_mantida
20,31,1.0,1.0,0.0
20,32,1.0,1.0,0.0
20,33,1.0,0.98,0.0
20,34,1.0,0.94,0.0
20,35,1.0,0.89,0.0
16,36,1.0,0.68,0.0
16,37,1.0,0.72,0.0
16,38,1.0,0.83,0.0
16,39,1.0,0.85,0.0
16,40,1.0,0.86,0.0
17,36,1.0,0.7,0.0
17,37,1.0,0.73,0.0
17,38,1.0,0.85,0.0
17,39,1.0,0.85,0.0
17,40,1.0,0.87,0.0
18,36,1.0,0.71,0.0
18,37,1.0,0.73,0.0
18,38,1.0,0.86,0.0
18,39,1.0,0.87,0.0
18,40,1.0,0.87,0.0
19,36,1.0,0.74,0.0
19,37,1.0,0.76,0.0
19,38,1.0,0.89,0.0
19,39,1.0,0.89,0.0
19,40,1.0,0.9,0.0
20,36,1.0,0.77,0.0
20,37,1.0,0.78,0.0
20,38,1.0,0.89,0.0
20,39,1.0,0.9,0.0
20,40,1.0,0.91,0.0
16,41,1.0,0.87,0.0
16,42,1.0,0.87,0.0
17,41,1.0,0.88,0.0
17,42,1.0,0.88,0.0
18,41,1.0,0.89,0.0
18,42,1.0,0.9,0.0
19,41,1.0,0.9,0.0
19,42,1.0,0.9,0.0
20,41,1.0,0.91,0.0
20,42,1.0,0.91,0.0
16,41,1.0,0.87,0.0
16,42,1.0,0.87,0.0
17,41,1.0,0.88,0.0
17,42,1.0,0.88,0.0
18,41,1.0,0.89,0.0
18,42,1.0,0.9,0.0
19,41,1.0,0.9,0.0
19,42,1.0,0.9,0.0
20,41,1.0,0.91,0.0
20,42,1.0,0.91,0.0
21,1,1.0,0.0,1.0
21,2,1.0,0.0,1.0
21,3,1.0,0.0,1.0
21,4,1.0,0.0,1.0
21,5,1.0,0.0,1.0
22,1,1.0,0.0,1.0
22,2,1.0,0.0,1.0
22,3,1.0,0.0,1.0
22,4,1.0,0.0,1.0
22,5,1.0,0.0,1.0
23,1,1.0,0.0,1.0
23,2,1.0,0.0,1.0
23,3,1.0,0.0,1.0
23,4,1.0,0.0,1.0
23,5,1.0,0.0,1.0
24,1,1.0,0.0,1.0
24,2,1.0,0.0,1.0
24,3,1.0,0.0,1.0
24,4,1.0,0.0,1.0
24,5,1.0,0.0,1.0
25,1,1.0,0.0,1.0
25,2,1.0,0.0,1.0
25,3,1.0,0.0,1.0
25,4,1.0,0.0,1.0
25,5,1.0,0.0,1.0
21,6,1.0,0.0,1.0
21,7,1.0,0.0,1.0
21,8,1.0,0.0,1.0
21,9,1.0,0.0,0.0
21,10,1.0,0.0,0.0
22,6,1.0,0.0,1.0
22,7,1.0,0.0,1.0
22,8,1.0,0.0,1.0
22,9,1.0,0.0,0.0
22,10,1.0,0.0,0.0
23,6,1.0,0.0,1.0
23,7,1.0,0.0,1.0
23,8,1.0,0.0,1.0
23,9,1.0,0.0,0.41
23,10,1.0,0.0,0.0
24,6,1.0,0.0,1.0
24,7,1.0,0.0,1.0
24,8,1.0,0.0,1.0
24,9,1.0,0.0,0.31
24,10,1.0,0.0,0.0
25,6,1.0,0.0,1.0
25,7,1.0,0.0,1.0
25,8,1.0,0.0,1.0
25,9,1.0,0.0,1.0
25,10,1.0,0.0,0.0
21,11,1.0,0.0,0.0
21,12,1.0,0.0,0.0
21,13,0.98,0.02,0.0
21,14,0.96,0.08,0.0
21,15,1.0,0.11,0.01
22,11,1.0,0.0,0.0
22,12,1.0,0.0,0.0
22,13,0.99,0.01,0.0
22,14,0.99,0.06,0.0
22,15,1.0,0.08,0.01
23,11,1.0,0.0,0.0
23,12,1.0,0.0,0.0
23,13,1.0,0.0,0.0
23,14,1.0,0.01,0.0
23,15,1.0,0.05,0.0
24,11,1.0,0.0,0.0
24,12,1.0,0.0,0.0
24,13,1.0,0.0,0.0
24,14,1.0,0.0,0.0
24,15,1.0,0.05,0.0
25,11,1.0,0.0,0.0
25,12,1.0,0.0,0.0
25,13,1.0,0.0,0.0
25,14,1.0,0.0,0.0
25,15,1.0,0.0,0.0
21,16,0.76,0.29,0.01
21,17,0.33,0.71,0.04
21,18,0.15,0.91,0.06
21,19,1.0,1.0,0.27
21,20,0.48,1.0,0.48
22,16,0.92,0.15,0.02
22,17,0.53,0.52,0.05
22,18,0.29,0.83,0.12
22,19,1.0,0.99,0.28
22,20,0.52,1.0,0.52
23,16,0.94,0.1,0.01
23,17,0.58,0.46,0.04
23,18,0.27,0.81,0.08
23,19,1.0,0.98,0.23
23,20,0.52,1.0,0.52
24,16,0.94,0.08,0.01
24,17,0.61,0.44,0.05
24,18,0.33,0.72,0.05
24,19,1.0,0.95,0.22
24,20,0.5,0.99,0.49
25,16,0.98,0.02,0.0
25,17,0.94,0.06,0.0
25,18,0.85,0.17,0.02
25,19,1.0,0.54,0.04
25,20,0.27,0.85,0.12
21,21,1.0,1.0,0.92
21,22,1.0,1.0,0.98
21,23,1.0,1.0,1.0
21,24,1.0,1.0,1.0
21,25,1.0,1.0,0.96
22,21,1.0,1.0,0.85
22,22,1.0,1.0,0.98
22,23,1.0,1.0,1.0
22,24,1.0,1.0,1.0
22,25,1.0,1.0,0.99
23,21,1.0,1.0,0.9
23,22,1.0,1.0,0.98
23,23,1.0,1.0,1.0
23,24,1.0,1.0,1.0
23,25,1.0,1.0,1.0
24,21,1.0,1.0,0.85
24,22,1.0,1.0,0.98
24,23,1.0,1.0,1.0
24,24,1.0,1.0,1.0
24,25,1.0,1.0,1.0
25,21,1.0,0.99,0.37
25,22,1.0,1.0,0.78
25,23,1.0,1.0,0.93
25,24,1.0,1.0,0.99
25,25,1.0,1.0,1.0
21,26,1.0,1.0,0.16
21,27,1.0,1.0,0.0
21,28,1.0,1.0,0.0
21,29,1.0,1.0,0.0
21,30,1.0,1.0,0.0
22,26,1.0,1.0,0.65
22,27,1.0,1.0,0.02
22,28,1.0,1.0,0.0
22,29,1.0,1.0,0.0
22,30,1.0,1.0,0.0
23,26,1.0,1.0,0.87
23,27,1.0,1.0,0.05
23,28,1.0,1.0,0.0
23,29,1.0,1.0,0.0
23,30,1.0,1.0,0.0
24,26,1.0,1.0,1.0
24,27,1.0,1.0,0.56
24,28,1.0,1.0,0.01
24,29,1.0,1.0,0.0
24,30,1.0,1.0,0.0
25,26,1.0,1.0,0.99
25,27,1.0,1.0,0.92
25,28,1.0,1.0,0.7
25,29,1.0,1.0,0.04
25,30,1.0,1.0,0.0
21,31,1.0,1.0,0.0
21,32,1.0,1.0,0.0
21,33,1.0,0.98,0.0
21,34,1.0,0.94,0.0
21,35,1.0,0.9,0.0
22,31,1.0,1.0,0.0
22,32,1.0,1.0,0.0
22,33,1.0,0.98,0.0
22,34,1.0,0.95,0.0
22,35,1.0,0.92,0.0
23,31,1.0,1.0,0.0
23,32,1.0,1.0,0.0
23,33,1.0,0.98,0.0
23,34,1.0,0.97,0.0
23,35,1.0,0.93,0.0
24,31,1.0,1.0,0.0
24,32,1.0,1.0,0.0
24,33,1.0,0.99,0.0
24,34,1.0,0.98,0.0
24,35,1.0,0.94,0.0
25,31,1.0,1.0,0.0
25,32,1.0,1.0,0.0
25,33,1.0,0.96,0.0
25,34,1.0,0.97,0.0
25,35,1.0,0.92,0.0
21,36,1.0,0.78,0.0
21,37,1.0,0.8,0.0
21,38,1.0,0.91,0.0
21,39,1.0,0.92,0.0
21,40,1.0,0.92,0.0
22,36,1.0,0.81,0.0
22,37,1.0,0.81,0.0
22,38,1.0,0.91,0.0
22,39,1.0,0.92,0.0
22,40,1.0,0.92,0.0
23,36,1.0,0.81,0.0
23,37,1.0,0.83,0.0
23,38,1.0,0.92,0.0
23,39,1.0,0.92,0.0
23,40,1.0,0.93,0.0
24,36,1.0,0.85,0.0
24,37,1.0,0.86,0.0
24,38,1.0,0.93,0.0
24,39,1.0,0.92,0.0
24,40,1.0,0.93,0.0
25,36,1.0,0.75,0.0
25,37,1.0,0.77,0.0
25,38,1.0,0.87,0.0
25,39,1.0,0.9,0.0
25,40,1.0,0.89,0.0
21,41,1.0,0.95,0.0
21,42,1.0,0.95,0.0
22,41,1.0,0.96,0.0
22,42,1.0,0.95,0.0
23,41,1.0,0.97,0.0
23,42,1.0,0.96,0.0
24,41,1.0,0.97,0.0
24,42,1.0,0.96,0.0
25,41,1.0,0.91,0.0
25,42,1.0,0.92,0.0
21,41,1.0,0.95,0.0
21,42,1.0,0.95,0.0
22,41,1.0,0.96,0.0
22,42,1.0,0.95,0.0
23,41,1.0,0.97,0.0
23,42,1.0,0.96,0.0
24,41,1.0,0.97,0.0
24,42,1.0,0.96,0.0
25,41,1.0,0.91,0.0
25,42,1.0,0.92,0.0
26,1,1.0,0.0,1.0
26,2,1.0,0.0,1.0
26,3,1.0,0.0,1.0
26,4,1.0,0.0,1.0
26,5,1.0,0.0,1.0
27,1,1.0,0.0,1.0
27,2,1.0,0.0,1.0
27,3,1.0,0.0,1.0
27,4,1.0,0.0,1.0
27,5,1.0,0.0,1.0
28,1,1.0,0.0,1.0
28,2,1.0,0.0,1.0
28,3,1.0,0.0,1.0
28,4,1.0,0.0,1.0
28,5,1.0,0.0,1.0
29,1,1.0,0.0,1.0
29,2,1.0,0.0,1.0
29,3,1.0,0.0,1.0
29,4,1.0,0.0,1.0
29,5,1.0,0.0,1.0
30,1,0.94,0.0,1.0
30,2,0.99,0.0,1.0
30,3,1.0,0.0,1.0
30,4,1.0,0.0,1.0
30,5,1.0,0.0,1.0
26,6,1.0,0.0,1.0
26,7,1.0,0.0,1.0
26,8,1.0,0.0,1.0
26,9,1.0,0.0,1.0
26,10,1.0,0.0,0.0
27,6,1.0,0.0,1.0
27,7,1.0,0.0,1.0
27,8,1.0,0.0,1.0
27,9,1.0,0.0,1.0
27,10,1.0,0.0,0.0
28,6,1.0,0.0,1.0
28,7,1.0,0.0,1.0
28,8,1.0,0.0,1.0
28,9,1.0,0.0,1.0
28,10,1.0,0.0,0.23
29,6,1.0,0.0,1.0
29,7,1.0,0.0,1.0
29,8,1.0,0.0,1.0
29,9,1.0,0.0,1.0
29,10,1.0,0.0,1.0
30,6,1.0,0.0,1.0
30,7,1.0,0.0,1.0
30,8,1.0,0.0,1.0
30,9,1.0,0.0,1.0
30,10,1.0,0.0,1.0
26,11,1.0,0.0,0.0
26,12,1.0,0.0,0.0
26,13,1.0,0.0,0.0
26,14,1.0,0.0,0.0
26,15,1.0,0.0,0.0
27,11,1.0,0.0,0.0
27,12,1.0,0.0,0.0
27,13,1.0,0.0,0.0
27,14,1.0,0.0,0.0
27,15,1.0,0.0,0.0
28,11,1.0,0.0,0.0
28,12,1.0,0.0,0.0
28,13,1.0,0.0,0.0
28,14,1.0,0.0,0.0
28,15,1.0,0.0,0.0
29,11,1.0,0.0,0.0
29,12,1.0,0.0,0.0
29,13,1.0,0.0,0.0
29,14,1.0,0.0,0.0
29,15,1.0,0.0,0.0
30,11,1.0,0.0,0.0
30,12,1.0,0.0,0.0
30,13,1.0,0.0,0.0
30,14,1.0,0.0,0.0
30,15,1.0,0.0,0.0
26,16,1.0,0.0,0.0
26,17,0.99,0.01,0.0
26,18,0.96,0.05,0.01
26,19,1.0,0.19,0.02
26,20,0.62,0.4,0.02
27,16,1.0,0.0,0.0
27,17,1.0,0.0,0.0
27,18,1.0,0.0,0.0
27,19,1.0,0.02,0.0
27,20,0.89,0.11,0.0
28,16,1.0,0.0,0.0
28,17,1.0,0.0,0.0
28,18,1.0,0.0,0.0
28,19,1.0,0.0,0.0
28,20,0.98,0.02,0.0
29,16,1.0,0.0,0.0
29,17,1.0,0.0,0.0
29,18,1.0,0.0,0.0
29,19,1.0,0.0,0.0
29,20,1.0,0.0,0.0
30,16,1.0,0.0,0.0
30,17,1.0,0.0,0.0
30,18,1.0,0.0,0.0
30,19,1.0,0.0,0.0
30,20,1.0,0.0,0.0
26,21,1.0,0.77,0.2
26,22,1.0,0.95,0.35
26,23,1.0,0.99,0.67
26,24,1.0,1.0,0.85
26,25,1.0,1.0,0.9
27,21,1.0,0.37,0.04
27,22,1.0,0.67,0.11
27,23,1.0,0.84,0.28
27,24,0.96,0.98,0.61
27,25,1.0,1.0,0.59
28,21,1.0,0.11,0.0
28,22,1.0,0.26,0.0
28,23,1.0,0.54,0.05
28,24,0.81,0.74,0.17
28,25,1.0,0.9,0.28
29,21,1.0,0.01,0.0
29,22,1.0,0.08,0.0
29,23,1.0,0.23,0.01
29,24,0.82,0.39,0.03
29,25,1.0,0.65,0.1
30,21,1.0,0.0,0.0
30,22,1.0,0.0,0.0
30,23,1.0,0.03,0.0
30,24,0.94,0.12,0.03
30,25,1.0,0.29,0.03
26,26,1.0,1.0,0.86
26,27,1.0,1.0,0.9
26,28,1.0,1.0,0.62
26,29,1.0,1.0,0.1
26,30,1.0,1.0,0.0
27,26,1.0,1.0,0.7
27,27,1.0,1.0,0.67
27,28,1.0,1.0,0.55
27,29,1.0,1.0,0.15
27,30,1.0,1.0,0.0
28,26,1.0,0.98,0.28
28,27,1.0,1.0,0.37
28,28,1.0,0.99,0.34
28,29,1.0,1.0,0.21
28,30,1.0,1.0,0.0
29,26,1.0,0.84,0.16
29,27,1.0,0.93,0.19
29,28,1.0,0.91,0.15
29,29,1.0,0.95,0.11
29,30,1.0,0.97,0.01
30,26,1.0,0.52,0.03
30,27,1.0,0.6,0.07
30,28,1.0,0.72,0.08
30,29,1.0,0.78,0.09
30,30,1.0,0.84,0.05
26,31,1.0,1.0,0.0
26,32,1.0,0.98,0.0
26,33,1.0,0.95,0.0
26,34,1.0,0.92,0.0
26,35,1.0,0.76,0.0
27,31,1.0,0.99,0.0
27,32,1.0,0.97,0.0
27,33,1.0,0.91,0.0
27,34,1.0,0.82,0.0
27,35,1.0,0.61,0.0
28,31,1.0,0.97,0.0
28,32,1.0,0.95,0.0
28,33,1.0,0.85,0.0
28,34,1.0,0.75,0.0
28,35,1.0,0.53,0.0
29,31,1.0,0.96,0.0
29,32,1.0,0.91,0.0
29,33,1.0,0.75,0.0
29,34,1.0,0.64,0.0
29,35,1.0,0.44,0.0
30,31,1.0,0.87,0.0
30,32,1.0,0.8,0.0
30,33,1.0,0.68,0.0
30,34,1.0,0.49,0.0
30,35,1.0,0.34,0.0
26,36,1.0,0.66,0.0
26,37,1.0,0.68,0.0
26,38,1.0,0.79,0.0
26,39,1.0,0.82,0.0
26,40,1.0,0.83,0.0
27,36,1.0,0.53,0.0
27,37,1.0,0.56,0.0
27,38,1.0,0.63,0.0
27,39,1.0,0.74,0.0
27,40,1.0,0.74,0.0
28,36,1.0,0.42,0.0
28,37,1.0,0.49,0.0
28,38,1.0,0.56,0.0
28,39,1.0,0.7,0.0
28,40,1.0,0.71,0.0
29,36,1.0,0.35,0.0
29,37,1.0,0.41,0.0
29,38,1.0,0.5,0.0
29,39,1.0,0.57,0.0
29,40,1.0,0.63,0.0
30,36,1.0,0.3,0.0
30,37,1.0,0.32,0.0
30,38,1.0,0.44,0.0
30,39,1.0,0.47,0.0
30,40,1.0,0.55,0.0
26,41,1.0,0.89,0.0
26,42,1.0,0.92,0.0
27,41,1.0,0.85,0.0
27,42,1.0,0.86,0.0
28,41,1.0,0.81,0.0
28,42,1.0,0.81,0.0
29,41,1.0,0.75,0.0
29,42,1.0,0.73,0.0
30,41,1.0,0.65,0.0
30,42,1.0,0.68,0.0
26,41,1.0,0.89,0.0
26,42,1.0,0.92,0.0
27,41,1.0,0.85,0.0
27,42,1.0,0.86,0.0
28,41,1.0,0.81,0.0
28,42,1.0,0.81,0.0
29,41,1.0,0.75,0.0
29,42,1.0,0.73,0.0
30,41,1.0,0.65,0.0
30,42,1.0,0.68,0.0
31,1,0.94,0.0,1.0
31,2,0.96,0.0,1.0
31,3,0.99,0.0,1.0
31,4,1.0,0.0,1.0
31,5,1.0,0.0,1.0
32,1,0.8,0.0,1.0
32,2,0.87,0.0,1.0
32,3,0.93,0.0,1.0
32,4,0.97,0.0,1.0
32,5,0.98,0.0,1.0
33,1,0.62,0.0,1.0
33,2,0.75,0.0,1.0
33,3,0.8,0.0,1.0
33,4,0.91,0.0,1.0
33,5,0.91,0.0,1.0
34,1,0.45,0.0,1.0
34,2,0.54,0.0,1.0
34,3,0.65,0.0,1.0
34,4,0.8,0.0,1.0
34,5,0.8,0.0,1.0
35,1,0.33,0.0,1.0
35,2,0.45,0.0,1.0
35,3,0.55,0.0,1.0
35,4,0.71,0.0,1.0
35,5,0.71,0.0,1.0
31,6,1.0,0.0,1.0
31,7,1.0,0.0,1.0
31,8,1.0,0.0,1.0
31,9,1.0,0.0,1.0
31,10,1.0,0.0,1.0
32,6,0.98,0.0,1.0
32,7,0.98,0.0,1.0
32,8,0.99,0.0,1.0
32,9,1.0,0.0,1.0
32,10,1.0,0.0,1.0
33,6,0.91,0.0,1.0
33,7,0.91,0.0,1.0
33,8,0.91,0.0,1.0
33,9,0.98,0.0,1.0
33,10,1.0,0.0,1.0
34,6,0.8,0.0,1.0
34,7,0.8,0.0,1.0
34,8,0.8,0.0,1.0
34,9,0.91,0.0,1.0
34,10,0.98,0.0,1.0
35,6,0.71,0.0,1.0
35,7,0.71,0.0,1.0
35,8,0.71,0.0,1.0
35,9,0.8,0.0,1.0
35,10,0.91,0.0,1.0
31,11,1.0,0.0,0.0
31,12,1.0,0.0,0.0
31,13,1.0,0.0,0.0
31,14,1.0,0.0,0.0
31,15,1.0,0.0,0.0
32,11,1.0,0.0,0.44
32,12,1.0,0.0,0.0
32,13,1.0,0.0,0.0
32,14,1.0,0.0,0.0
32,15,1.0,0.0,0.0
33,11,1.0,0.0,1.0
33,12,1.0,0.0,0.0
33,13,1.0,0.0,0.0
33,14,1.0,0.0,0.0
33,15,1.0,0.0,0.0
34,11,0.99,0.0,1.0
34,12,0.99,0.0,0.01
34,13,1.0,0.0,0.0
34,14,1.0,0.0,0.0
34,15,1.0,0.0,0.0
35,11,0.98,0.0,1.0
35,12,0.99,0.0,0.01
35,13,0.99,0.0,0.01
35,14,0.99,0.0,0.01
35,15,1.0,0.0,0.0
31,16,1.0,0.0,0.0
31,17,1.0,0.0,0.0
31,18,1.0,0.0,0.0
31,19,1.0,0.0,0.0
31,20,1.0,0.0,0.0
32,16,1.0,0.0,0.0
32,17,1.0,0.0,0.0
32,18,1.0,0.0,0.0
32,19,1.0,0.0,0.0
32,20,1.0,0.0,0.0
33,16,1.0,0.0,0.0
33,17,1.0,0.0,0.0
33,18,1.0,0.0,0.0
33,19,1.0,0.0,0.0
33,20,1.0,0.0,0.0
34,16,1.0,0.0,0.0
34,17,1.0,0.0,0.0
34,18,1.0,0.0,0.0
34,19,1.0,0.0,0.0
34,20,1.0,0.0,0.0
35,16,1.0,0.0,0.0
35,17,1.0,0.0,0.0
35,18,1.0,0.0,0.0
35,19,1.0,0.0,0.0
35,20,1.0,0.0,0.0
31,21,1.0,0.0,0.0
31,22,1.0,0.0,0.0
31,23,1.0,0.0,0.0
31,24,0.99,0.02,0.0
31,25,1.0,0.04,0.01
32,21,1.0,0.0,0.0
32,22,1.0,0.0,0.0
32,23,1.0,0.0,0.0
32,24,1.0,0.0,0.0
32,25,1.0,0.01,0.0
33,21,1.0,0.0,0.0
33,22,1.0,0.0,0.0
33,23,1.0,0.0,0.0
33,24,1.0,0.0,0.0
33,25,1.0,0.0,0.0
34,21,1.0,0.0,0.0
34,22,1.0,0.0,0.0
34,23,1.0,0.0,0.0
34,24,1.0,0.0,0.0
34,25,1.0,0.0,0.0
35,21,1.0,0.0,0.0
35,22,1.0,0.0,0.0
35,23,1.0,0.0,0.0
35,24,1.0,0.0,0.0
35,25,1.0,0.0,0.0
31,26,1.0,0.14,0.01
31,27,1.0,0.32,0.02
31,28,1.0,0.46,0.03
31,29,1.0,0.5,0.05
31,30,1.0,0.62,0.02
32,26,1.0,0.02,0.0
32,27,1.0,0.11,0.01
32,28,1.0,0.18,0.01
32,29,1.0,0.25,0.01
32,30,1.0,0.34,0.01
33,26,1.0,0.01,0.0
33,27,1.0,0.02,0.01
33,28,1.0,0.04,0.0
33,29,1.0,0.13,0.0
33,30,1.0,0.16,0.0
34,26,1.0,0.0,0.0
34,27,1.0,0.01,0.0
34,28,1.0,0.02,0.0
34,29,1.0,0.05,0.0
34,30,1.0,0.05,0.0
35,26,1.0,0.0,0.0
35,27,1.0,0.0,0.0
35,28,1.0,0.01,0.0
35,29,1.0,0.02,0.0
35,30,1.0,0.02,0.0
31,31,1.0,0.61,0.01
31,32,1.0,0.64,0.0
31,33,1.0,0.54,0.0
31,34,1.0,0.4,0.0
31,35,1.0,0.29,0.0
32,31,1.0,0.37,0.0
32,32,1.0,0.38,0.0
32,33,1.0,0.38,0.0
32,34,1.0,0.3,0.0
32,35,1.0,0.23,0.0
33,31,1.0,0.25,0.0
33,32,1.0,0.23,0.0
33,33,1.0,0.26,0.0
33,34,1.0,0.23,0.0
33,35,1.0,0.11,0.0
34,31,1.0,0.07,0.0
34,32,1.0,0.13,0.0
34,33,1.0,0.21,0.0
34,34,1.0,0.12,0.0
34,35,1.0,0.08,0.0
35,31,1.0,0.04,0.0
35,32,1.0,0.07,0.0
35,33,1.0,0.09,0.0
35,34,1.0,0.09,0.0
35,35,1.0,0.07,0.0
31,36,1.0,0.22,0.0
31,37,1.0,0.26,0.0
31,38,1.0,0.31,0.0
31,39,1.0,0.36,0.0
31,40,1.0,0.46,0.0
32,36,1.0,0.14,0.0
32,37,1.0,0.21,0.0
32,38,1.0,0.25,0.0
32,39,1.0,0.31,0.0
32,40,1.0,0.42,0.0
33,36,1.0,0.12,0.0
33,37,1.0,0.16,0.0
33,38,1.0,0.2,0.0
33,39,1.0,0.24,0.0
33,40,1.0,0.4,0.0
34,36,1.0,0.08,0.0
34,37,1.0,0.11,0.0
34,38,1.0,0.2,0.0
34,39,1.0,0.24,0.0
34,40,1.0,0.41,0.0
35,36,1.0,0.05,0.0
35,37,1.0,0.08,0.0
35,38,1.0,0.19,0.0
35,39,1.0,0.22,0.0
35,40,1.0,0.39,0.0
31,41,1.0,0.57,0.0
31,42,1.0,0.68,0.0
32,41,1.0,0.56,0.0
32,42,1.0,0.72,0.0
33,41,1.0,0.57,0.0
33,42,1.0,0.7,0.0
34,41,1.0,0.54,0.0
34,42,1.0,0.73,0.0
35,41,1.0,0.55,0.0
35,42,1.0,0.71,0.0
31,41,1.0,0.57,0.0
31,42,1.0,0.68,0.0
32,41,1.0,0.56,0.0
32,42,1.0,0.72,0.0
33,41,1.0,0.57,0.0
33,42,1.0,0.7,0.0
34,41,1.0,0.54,0.0
34,42,1.0,0.73,0.0
35,41,1.0,0.55,0.0
35,42,1.0,0.71,0.0
36,6,0.5,0.0,1.0
36,7,0.5,0.0,1.0
36,8,0.5,0.0,1.0
36,9,0.68,0.0,1.0
36,10,0.77,0.0,1.0
37,6,0.54,0.0,1.0
37,7,0.54,0.0,1.0
37,8,0.54,0.0,1.0
37,9,0.68,0.0,1.0
37,10,0.81,0.0,1.0
38,6,0.58,0.0,1.0
38,7,0.58,0.0,1.0
38,8,0.58,0.0,1.0
38,9,0.71,0.0,1.0
38,10,0.85,0.0,1.0
39,6,0.63,0.0,1.0
39,7,0.63,0.0,1.0
39,8,0.63,0.0,1.0
39,9,0.76,0.0,1.0
39,10,0.84,0.0,1.0
40,6,0.72,0.0,1.0
40,7,0.72,0.0,1.0
40,8,0.72,0.0,1.0
40,9,0.8,0.0,1.0
40,10,0.88,0.0,1.0
36,11,0.85,0.0,1.0
36,12,0.97,0.0,0.31
36,13,0.99,0.0,0.01
36,14,1.0,0.0,0.0
36,15,1.0,0.0,0.0
37,11,0.86,0.0,1.0
37,12,0.97,0.0,1.0
37,13,0.99,0.0,0.01
37,14,1.0,0.0,0.0
37,15,1.0,0.0,0.0
38,11,0.93,0.0,1.0
38,12,0.97,0.0,1.0
38,13,1.0,0.0,0.0
38,14,1.0,0.0,0.0
38,15,1.0,0.0,0.0
39,11,0.95,0.0,1.0
39,12,0.99,0.0,1.0
39,13,0.99,0.0,0.01
39,14,1.0,0.0,0.0
39,15,1.0,0.0,0.0
40,11,0.94,0.0,1.0
40,12,0.98,0.0,1.0
40,13,0.99,0.0,0.01
40,14,0.99,0.0,0.01
40,15,1.0,0.0,0.0
36,16,1.0,0.0,0.0
36,17,1.0,0.0,0.0
36,18,1.0,0.0,0.0
36,19,1.0,0.0,0.0
36,20,1.0,0.0,0.0
37,16,1.0,0.0,0.0
37,17,1.0,0.0,0.0
37,18,1.0,0.0,0.0
37,19,1.0,0.0,0.0
37,20,1.0,0.0,0.0
38,16,1.0,0.0,0.0
38,17,1.0,0.0,0.0
38,18,1.0,0.0,0.0
38,19,1.0,0.0,0.0
38,20,1.0,0.0,0.0
39,16,1.0,0.0,0.0
39,17,1.0,0.0,0.0
39,18,1.0,0.0,0.0
39,19,1.0,0.0,0.0
39,20,1.0,0.0,0.0
40,16,1.0,0.0,0.0
40,17,1.0,0.0,0.0
40,18,1.0,0.0,0.0
40,19,1.0,0.0,0.0
40,20,1.0,0.0,0.0
36,21,1.0,0.0,0.0
36,22,1.0,0.0,0.0
36,23,1.0,0.0,0.0
36,24,1.0,0.0,0.0
36,25,1.0,0.0,0.0
37,21,1.0,0.0,0.0
37,22,1.0,0.0,0.0
37,23,1.0,0.0,0.0
37,24,1.0,0.0,0.0
37,25,1.0,0.0,0.0
38,21,1.0,0.0,0.0
38,22,1.0,0.0,0.0
38,23,1.0,0.0,0.0
38,24,1.0,0.0,0.0
38,25,1.0,0.0,0.0
39,21,1.0,0.0,0.0
39,22,1.0,0.0,0.0
39,23,1.0,0.0,0.0
39,24,1.0,0.0,0.0
39,25,1.0,0.0,0.0
40,21,1.0,0.0,0.0
40,22,1.0,0.0,0.0
40,23,1.0,0.0,0.0
40,24,1.0,0.0,0.0
40,25,1.0,0.0,0.0
