pop,t,freq_O,freq_Y,freq_B,vizinhos_mean,vizinhos_mean_O,vizinhos_mean_Y,vizinhos_mean_B
0,-1,0.3264,0.3331,0.3405,0.0,0.0,0.0,0.0
0,1,0.2831,0.3407,0.3762,2.504,2.2310137760508653,2.5265629586146168,2.688995215311005
0,2,0.2468,0.3483,0.4049,3.4344,3.228525121555916,3.4349698535745046,3.5593973820696467
0,3,0.2184,0.3399,0.4417,3.7932,3.697802197802198,3.7764048249485143,3.8532940910119993
0,4,0.1965,0.3154,0.4881,3.9248,3.8900763358778625,3.904882688649334,3.9516492522024174
0,5,0.1797,0.2953,0.525,3.974,3.957707289927657,3.9634270233660684,3.9855238095238095
0,6,0.1666,0.2734,0.56,3.9908,3.978391356542617,3.9853694220921727,3.9971428571428573
0,7,0.1539,0.2422,0.6039,3.994,3.987004548408057,3.9884393063583814,3.998012916045703
0,8,0.1423,0.2186,0.6391,3.9964,3.9971890372452563,3.989021043000915,3.998748239712095
0,9,0.1413,0.1934,0.6653,3.9984,3.997169143665959,3.9958634953464323,3.9993987674733202
0,10,0.1387,0.1732,0.6881,3.9996,4.0,4.0,3.9994186891440195
0,11,0.1335,0.1546,0.7119,4.0,4.0,4.0,4.0
0,12,0.13,0.1364,0.7336,4.0,4.0,4.0,4.0
0,13,0.1351,0.119,0.7459,4.0,4.0,4.0,4.0
0,14,0.1411,0.1014,0.7575,4.0,4.0,4.0,4.0
0,15,0.1429,0.0904,0.7667,4.0,4.0,4.0,4.0
0,16,0.1488,0.076,0.7752,4.0,4.0,4.0,4.0
0,17,0.155,0.0651,0.7799,4.0,4.0,4.0,4.0
0,18,0.1571,0.0559,0.787,4.0,4.0,4.0,4.0
0,19,0.1625,0.0505,0.787,4.0,4.0,4.0,4.0
0,20,0.1723,0.043,0.7847,4.0,4.0,4.0,4.0
0,21,0.1782,0.0389,0.7829,4.0,4.0,4.0,4.0
0,22,0.1829,0.0359,0.7812,4.0,4.0,4.0,4.0
0,23,0.1883,0.036,0.7757,4.0,4.0,4.0,4.0
0,24,0.1934,0.0335,0.7731,4.0,4.0,4.0,4.0
0,25,0.2009,0.0305,0.7686,4.0,4.0,4.0,4.0
0,26,0.219,0.0275,0.7535,4.0,4.0,4.0,4.0
0,27,0.2339,0.0284,0.7377,4.0,4.0,4.0,4.0
0,28,0.2414,0.0258,0.7328,4.0,4.0,4.0,4.0
0,29,0.2558,0.0223,0.7219,4.0,4.0,4.0,4.0
0,30,0.2653,0.0217,0.713,4.0,4.0,4.0,4.0
0,31,0.2759,0.0198,0.7043,4.0,4.0,4.0,4.0
0,32,0.288,0.0189,0.6931,4.0,4.0,4.0,4.0
0,33,0.2988,0.0184,0.6828,4.0,4.0,4.0,4.0
0,34,0.3161,0.0193,0.6646,4.0,4.0,4.0,4.0
0,35,0.3221,0.0209,0.657,4.0,4.0,4.0,4.0
0,36,0.3385,0.0221,0.6394,4.0,4.0,4.0,4.0
0,37,0.3457,0.0205,0.6338,4.0,4.0,4.0,4.0
0,38,0.3543,0.021,0.6247,4.0,4.0,4.0,4.0
0,39,0.3657,0.0203,0.614,4.0,4.0,4.0,4.0
0,40,0.3703,0.0207,0.609,4.0,4.0,4.0,4.0
0,41,0.3789,0.0193,0.6018,4.0,4.0,4.0,4.0
0,42,0.3898,0.0174,0.5928,4.0,4.0,4.0,4.0
0,43,0.3993,0.0184,0.5823,4.0,4.0,4.0,4.0
0,44,0.4129,0.0197,0.5674,4.0,4.0,4.0,4.0
0,45,0.4225,0.0189,0.5586,4.0,4.0,4.0,4.0
0,46,0.4372,0.0206,0.5422,4.0,4.0,4.0,4.0
0,47,0.457,0.0209,0.5221,4.0,4.0,4.0,4.0
0,48,0.4778,0.0203,0.5019,4.0,4.0,4.0,4.0
0,49,0.4903,0.0206,0.4891,4.0,4.0,4.0,4.0
0,50,0.5001,0.0245,0.4754,4.0,4.0,4.0,4.0
0,51,0.5108,0.0267,0.4625,4.0,4.0,4.0,4.0
0,52,0.5188,0.0263,0.4549,4.0,4.0,4.0,4.0
0,53,0.5256,0.0276,0.4468,4.0,4.0,4.0,4.0
0,54,0.5404,0.0284,0.4312,4.0,4.0,4.0,4.0
0,55,0.5528,0.0289,0.4183,4.0,4.0,4.0,4.0
0,56,0.5662,0.0308,0.403,4.0,4.0,4.0,4.0
0,57,0.575,0.0321,0.3929,4.0,4.0,4.0,4.0
0,58,0.5811,0.0349,0.384,4.0,4.0,4.0,4.0
0,59,0.5892,0.0379,0.3729,4.0,4.0,4.0,4.0
0,60,0.6023,0.0397,0.358,4.0,4.0,4.0,4.0
0,61,0.61,0.0416,0.3484,4.0,4.0,4.0,4.0
0,62,0.6214,0.0434,0.3352,4.0,4.0,4.0,4.0
0,63,0.629,0.043,0.328,4.0,4.0,4.0,4.0
0,64,0.6399,0.0464,0.3137,4.0,4.0,4.0,4.0
0,65,0.6418,0.048,0.3102,4.0,4.0,4.0,4.0
0,66,0.6532,0.0483,0.2985,4.0,4.0,4.0,4.0
0,67,0.6555,0.0495,0.295,4.0,4.0,4.0,4.0
0,68,0.6607,0.0526,0.2867,4.0,4.0,4.0,4.0
0,69,0.661,0.0547,0.2843,4.0,4.0,4.0,4.0
0,70,0.6616,0.0585,0.2799,4.0,4.0,4.0,4.0
0,71,0.6594,0.0622,0.2784,4.0,4.0,4.0,4.0
0,72,0.6615,0.0651,0.2734,4.0,4.0,4.0,4.0
0,73,0.6635,0.0689,0.2676,4.0,4.0,4.0,4.0
0,74,0.6654,0.0718,0.2628,4.0,4.0,4.0,4.0
0,75,0.6638,0.0769,0.2593,4.0,4.0,4.0,4.0
0,76,0.664,0.0793,0.2567,4.0,4.0,4.0,4.0
0,77,0.6641,0.0834,0.2525,4.0,4.0,4.0,4.0
0,78,0.658,0.0884,0.2536,4.0,4.0,4.0,4.0
0,79,0.6531,0.0945,0.2524,4.0,4.0,4.0,4.0
0,80,0.6471,0.1021,0.2508,4.0,4.0,4.0,4.0
0,81,0.6402,0.1045,0.2553,4.0,4.0,4.0,4.0
0,82,0.6345,0.1102,0.2553,4.0,4.0,4.0,4.0
0,83,0.6308,0.115,0.2542,4.0,4.0,4.0,4.0
0,84,0.6238,0.1253,0.2509,4.0,4.0,4.0,4.0
0,85,0.6188,0.1325,0.2487,4.0,4.0,4.0,4.0
0,86,0.6137,0.1401,0.2462,4.0,4.0,4.0,4.0
0,87,0.602,0.1484,0.2496,4.0,4.0,4.0,4.0
0,88,0.5951,0.1575,0.2474,4.0,4.0,4.0,4.0
0,89,0.583,0.1592,0.2578,4.0,4.0,4.0,4.0
0,90,0.5702,0.1626,0.2672,4.0,4.0,4.0,4.0
0,91,0.5618,0.1666,0.2716,4.0,4.0,4.0,4.0
0,92,0.5542,0.1736,0.2722,4.0,4.0,4.0,4.0
0,93,0.5412,0.1805,0.2783,4.0,4.0,4.0,4.0
0,94,0.5319,0.1859,0.2822,4.0,4.0,4.0,4.0
0,95,0.5238,0.1875,0.2887,4.0,4.0,4.0,4.0
0,96,0.5171,0.1881,0.2948,4.0,4.0,4.0,4.0
0,97,0.5091,0.1895,0.3014,4.0,4.0,4.0,4.0
0,98,0.4984,0.1899,0.3117,4.0,4.0,4.0,4.0
0,99,0.4884,0.1944,0.3172,4.0,4.0,4.0,4.0
0,100,0.4795,0.1985,0.322,4.0,4.0,4.0,4.0
0,101,0.4692,0.2012,0.3296,4.0,4.0,4.0,4.0
0,102,0.4649,0.2036,0.3315,4.0,4.0,4.0,4.0
0,103,0.4608,0.2044,0.3348,4.0,4.0,4.0,4.0
0,104,0.4533,0.2025,0.3442,4.0,4.0,4.0,4.0
0,105,0.443,0.2062,0.3508,4.0,4.0,4.0,4.0
0,106,0.4297,0.2109,0.3594,4.0,4.0,4.0,4.0
0,107,0.4255,0.2103,0.3642,4.0,4.0,4.0,4.0
0,108,0.4141,0.2139,0.372,4.0,4.0,4.0,4.0
0,109,0.4041,0.2117,0.3842,4.0,4.0,4.0,4.0
0,110,0.3942,0.2135,0.3923,4.0,4.0,4.0,4.0
0,111,0.3886,0.2179,0.3935,4.0,4.0,4.0,4.0
0,112,0.382,0.2194,0.3986,4.0,4.0,4.0,4.0
0,113,0.3749,0.2197,0.4054,4.0,4.0,4.0,4.0
0,114,0.3634,0.2286,0.408,4.0,4.0,4.0,4.0
0,115,0.3516,0.2338,0.4146,4.0,4.0,4.0,4.0
0,116,0.3395,0.2353,0.4252,4.0,4.0,4.0,4.0
0,117,0.3281,0.2376,0.4343,4.0,4.0,4.0,4.0
0,118,0.3175,0.2394,0.4431,4.0,4.0,4.0,4.0
0,119,0.3083,0.2393,0.4524,4.0,4.0,4.0,4.0
0,120,0.2988,0.2393,0.4619,4.0,4.0,4.0,4.0
0,121,0.2929,0.2417,0.4654,4.0,4.0,4.0,4.0
0,122,0.2882,0.239,0.4728,4.0,4.0,4.0,4.0
0,123,0.2827,0.236,0.4813,4.0,4.0,4.0,4.0
0,124,0.2768,0.2344,0.4888,4.0,4.0,4.0,4.0
0,125,0.2705,0.2271,0.5024,4.0,4.0,4.0,4.0
0,126,0.2669,0.22,0.5131,4.0,4.0,4.0,4.0
0,127,0.2617,0.2167,0.5216,4.0,4.0,4.0,4.0
0,128,0.262,0.2118,0.5262,4.0,4.0,4.0,4.0
0,129,0.258,0.2085,0.5335,4.0,4.0,4.0,4.0
0,130,0.2524,0.2059,0.5417,4.0,4.0,4.0,4.0
0,131,0.2454,0.2034,0.5512,4.0,4.0,4.0,4.0
0,132,0.2439,0.203,0.5531,4.0,4.0,4.0,4.0
0,133,0.2423,0.1999,0.5578,4.0,4.0,4.0,4.0
0,134,0.2433,0.1966,0.5601,4.0,4.0,4.0,4.0
0,135,0.2369,0.1955,0.5676,4.0,4.0,4.0,4.0
0,136,0.2302,0.1953,0.5745,4.0,4.0,4.0,4.0
0,137,0.2284,0.1906,0.581,4.0,4.0,4.0,4.0
0,138,0.2248,0.19,0.5852,4.0,4.0,4.0,4.0
0,139,0.2191,0.1857,0.5952,4.0,4.0,4.0,4.0
0,140,0.2197,0.1821,0.5982,4.0,4.0,4.0,4.0
0,141,0.2199,0.1744,0.6057,4.0,4.0,4.0,4.0
0,142,0.2216,0.1708,0.6076,4.0,4.0,4.0,4.0
0,143,0.2222,0.1649,0.6129,4.0,4.0,4.0,4.0
0,144,0.2241,0.1603,0.6156,4.0,4.0,4.0,4.0
0,145,0.2265,0.1568,0.6167,4.0,4.0,4.0,4.0
0,146,0.2287,0.1546,0.6167,4.0,4.0,4.0,4.0
0,147,0.2359,0.1531,0.611,4.0,4.0,4.0,4.0
0,148,0.2354,0.1501,0.6145,4.0,4.0,4.0,4.0
0,149,0.2373,0.1439,0.6188,4.0,4.0,4.0,4.0
0,150,0.2405,0.137,0.6225,4.0,4.0,4.0,4.0
0,151,0.2441,0.1307,0.6252,4.0,4.0,4.0,4.0
0,152,0.246,0.1253,0.6287,4.0,4.0,4.0,4.0
0,153,0.2506,0.1215,0.6279,4.0,4.0,4.0,4.0
0,154,0.255,0.11,0.635,4.0,4.0,4.0,4.0
0,155,0.2586,0.1017,0.6397,4.0,4.0,4.0,4.0
0,156,0.2618,0.097,0.6412,4.0,4.0,4.0,4.0
0,157,0.2671,0.0891,0.6438,4.0,4.0,4.0,4.0
0,158,0.2735,0.0809,0.6456,4.0,4.0,4.0,4.0
0,159,0.2816,0.0755,0.6429,4.0,4.0,4.0,4.0
0,160,0.2884,0.0693,0.6423,4.0,4.0,4.0,4.0
0,161,0.2918,0.0639,0.6443,4.0,4.0,4.0,4.0
0,162,0.3048,0.0605,0.6347,4.0,4.0,4.0,4.0
0,163,0.3129,0.0574,0.6297,4.0,4.0,4.0,4.0
0,164,0.3208,0.0557,0.6235,4.0,4.0,4.0,4.0
0,165,0.3289,0.0545,0.6166,4.0,4.0,4.0,4.0
0,166,0.3371,0.0512,0.6117,4.0,4.0,4.0,4.0
0,167,0.3463,0.051,0.6027,4.0,4.0,4.0,4.0
0,168,0.3535,0.0502,0.5963,4.0,4.0,4.0,4.0
0,169,0.3596,0.0493,0.5911,4.0,4.0,4.0,4.0
0,170,0.365,0.0495,0.5855,4.0,4.0,4.0,4.0
0,171,0.3727,0.0482,0.5791,4.0,4.0,4.0,4.0
0,172,0.3783,0.0477,0.574,4.0,4.0,4.0,4.0
0,173,0.3823,0.0488,0.5689,4.0,4.0,4.0,4.0
0,174,0.391,0.0495,0.5595,4.0,4.0,4.0,4.0
0,175,0.398,0.0503,0.5517,4.0,4.0,4.0,4.0
0,176,0.4081,0.0502,0.5417,4.0,4.0,4.0,4.0
0,177,0.4154,0.0519,0.5327,4.0,4.0,4.0,4.0
0,178,0.4217,0.0543,0.524,4.0,4.0,4.0,4.0
0,179,0.4226,0.057,0.5204,4.0,4.0,4.0,4.0
0,180,0.4239,0.0586,0.5175,4.0,4.0,4.0,4.0
0,181,0.4303,0.0584,0.5113,4.0,4.0,4.0,4.0
0,182,0.4315,0.0585,0.51,4.0,4.0,4.0,4.0
0,183,0.4348,0.0605,0.5047,4.0,4.0,4.0,4.0
0,184,0.442,0.0621,0.4959,4.0,4.0,4.0,4.0
0,185,0.4421,0.0633,0.4946,4.0,4.0,4.0,4.0
0,186,0.4467,0.0679,0.4854,4.0,4.0,4.0,4.0
0,187,0.4512,0.0696,0.4792,4.0,4.0,4.0,4.0
0,188,0.4517,0.0713,0.477,4.0,4.0,4.0,4.0
0,189,0.4518,0.0738,0.4744,4.0,4.0,4.0,4.0
0,190,0.4569,0.0741,0.469,4.0,4.0,4.0,4.0
0,191,0.4599,0.0772,0.4629,4.0,4.0,4.0,4.0
0,192,0.4626,0.0792,0.4582,4.0,4.0,4.0,4.0
0,193,0.4666,0.0791,0.4543,4.0,4.0,4.0,4.0
0,194,0.4654,0.0822,0.4524,4.0,4.0,4.0,4.0
0,195,0.4662,0.0859,0.4479,4.0,4.0,4.0,4.0
0,196,0.4615,0.0903,0.4482,4.0,4.0,4.0,4.0
0,197,0.4622,0.0928,0.445,4.0,4.0,4.0,4.0
0,198,0.4589,0.0975,0.4436,4.0,4.0,4.0,4.0
0,199,0.4621,0.0971,0.4408,4.0,4.0,4.0,4.0
0,200,0.4605,0.0993,0.4402,4.0,4.0,4.0,4.0
0,201,0.4577,0.101,0.4413,4.0,4.0,4.0,4.0
0,202,0.4544,0.1039,0.4417,4.0,4.0,4.0,4.0
0,203,0.4512,0.108,0.4408,4.0,4.0,4.0,4.0
0,204,0.4542,0.1086,0.4372,4.0,4.0,4.0,4.0
0,205,0.4453,0.1102,0.4445,4.0,4.0,4.0,4.0
0,206,0.4444,0.1133,0.4423,4.0,4.0,4.0,4.0
0,207,0.445,0.1168,0.4382,4.0,4.0,4.0,4.0
0,208,0.4405,0.1202,0.4393,4.0,4.0,4.0,4.0
0,209,0.4412,0.122,0.4368,4.0,4.0,4.0,4.0
0,210,0.4385,0.1257,0.4358,4.0,4.0,4.0,4.0
0,211,0.4299,0.13,0.4401,4.0,4.0,4.0,4.0
0,212,0.4265,0.1339,0.4396,4.0,4.0,4.0,4.0
0,213,0.4219,0.1342,0.4439,4.0,4.0,4.0,4.0
0,214,0.4188,0.1359,0.4453,4.0,4.0,4.0,4.0
0,215,0.4225,0.1352,0.4423,4.0,4.0,4.0,4.0
0,216,0.4213,0.1368,0.4419,4.0,4.0,4.0,4.0
0,217,0.4168,0.1363,0.4469,4.0,4.0,4.0,4.0
0,218,0.4143,0.1364,0.4493,4.0,4.0,4.0,4.0
0,219,0.4131,0.1332,0.4537,4.0,4.0,4.0,4.0
0,220,0.4129,0.1332,0.4539,4.0,4.0,4.0,4.0
0,221,0.41,0.1327,0.4573,4.0,4.0,4.0,4.0
0,222,0.4066,0.1316,0.4618,4.0,4.0,4.0,4.0
0,223,0.3993,0.1363,0.4644,4.0,4.0,4.0,4.0
0,224,0.3941,0.1388,0.4671,4.0,4.0,4.0,4.0
0,225,0.3907,0.1393,0.47,4.0,4.0,4.0,4.0
0,226,0.3861,0.141,0.4729,4.0,4.0,4.0,4.0
0,227,0.3839,0.138,0.4781,4.0,4.0,4.0,4.0
0,228,0.3843,0.1384,0.4773,4.0,4.0,4.0,4.0
0,229,0.3829,0.1386,0.4785,4.0,4.0,4.0,4.0
0,230,0.3829,0.1391,0.478,4.0,4.0,4.0,4.0
0,231,0.3811,0.1402,0.4787,4.0,4.0,4.0,4.0
0,232,0.3733,0.1392,0.4875,4.0,4.0,4.0,4.0
0,233,0.3723,0.1383,0.4894,4.0,4.0,4.0,4.0
0,234,0.3724,0.1334,0.4942,4.0,4.0,4.0,4.0
0,235,0.3682,0.1312,0.5006,4.0,4.0,4.0,4.0
0,236,0.3657,0.1303,0.504,4.0,4.0,4.0,4.0
0,237,0.3644,0.1291,0.5065,4.0,4.0,4.0,4.0
0,238,0.362,0.1268,0.5112,4.0,4.0,4.0,4.0
0,239,0.3584,0.1261,0.5155,4.0,4.0,4.0,4.0
0,240,0.3593,0.1253,0.5154,4.0,4.0,4.0,4.0
0,241,0.3613,0.1253,0.5134,4.0,4.0,4.0,4.0
0,242,0.3603,0.1257,0.514,4.0,4.0,4.0,4.0
0,243,0.357,0.1274,0.5156,4.0,4.0,4.0,4.0
0,244,0.3549,0.1251,0.52,4.0,4.0,4.0,4.0
0,245,0.3526,0.1239,0.5235,4.0,4.0,4.0,4.0
0,246,0.3524,0.1242,0.5234,4.0,4.0,4.0,4.0
0,247,0.352,0.1213,0.5267,4.0,4.0,4.0,4.0
0,248,0.3499,0.1228,0.5273,4.0,4.0,4.0,4.0
0,249,0.352,0.1213,0.5267,4.0,4.0,4.0,4.0
0,250,0.3521,0.121,0.5269,4.0,4.0,4.0,4.0
0,251,0.3528,0.1205,0.5267,4.0,4.0,4.0,4.0
0,252,0.3554,0.1196,0.525,4.0,4.0,4.0,4.0
0,253,0.3551,0.1159,0.529,4.0,4.0,4.0,4.0
0,254,0.3568,0.116,0.5272,4.0,4.0,4.0,4.0
0,255,0.3564,0.1141,0.5295,4.0,4.0,4.0,4.0
0,256,0.3462,0.1159,0.5379,4.0,4.0,4.0,4.0
0,257,0.3504,0.1183,0.5313,4.0,4.0,4.0,4.0
0,258,0.352,0.1187,0.5293,4.0,4.0,4.0,4.0
0,259,0.3502,0.1227,0.5271,4.0,4.0,4.0,4.0
0,260,0.3507,0.1253,0.524,4.0,4.0,4.0,4.0
0,261,0.3508,0.1266,0.5226,4.0,4.0,4.0,4.0
0,262,0.3485,0.1282,0.5233,4.0,4.0,4.0,4.0
0,263,0.3469,0.1298,0.5233,4.0,4.0,4.0,4.0
0,264,0.3474,0.1299,0.5227,4.0,4.0,4.0,4.0
0,265,0.3495,0.1294,0.5211,4.0,4.0,4.0,4.0
0,266,0.3505,0.127,0.5225,4.0,4.0,4.0,4.0
0,267,0.3525,0.1246,0.5229,4.0,4.0,4.0,4.0
0,268,0.3492,0.1231,0.5277,4.0,4.0,4.0,4.0
0,269,0.3524,0.1254,0.5222,4.0,4.0,4.0,4.0
0,270,0.3508,0.1263,0.5229,4.0,4.0,4.0,4.0
0,271,0.3472,0.1289,0.5239,4.0,4.0,4.0,4.0
0,272,0.3513,0.1299,0.5188,4.0,4.0,4.0,4.0
0,273,0.3416,0.1311,0.5273,4.0,4.0,4.0,4.0
0,274,0.337,0.1261,0.5369,4.0,4.0,4.0,4.0
0,275,0.3339,0.1249,0.5412,4.0,4.0,4.0,4.0
0,276,0.3338,0.1233,0.5429,4.0,4.0,4.0,4.0
0,277,0.3385,0.1237,0.5378,4.0,4.0,4.0,4.0
0,278,0.3465,0.1215,0.532,4.0,4.0,4.0,4.0
0,279,0.3425,0.1245,0.533,4.0,4.0,4.0,4.0
0,280,0.34,0.1226,0.5374,4.0,4.0,4.0,4.0
0,281,0.3393,0.1243,0.5364,4.0,4.0,4.0,4.0
0,282,0.3393,0.1261,0.5346,4.0,4.0,4.0,4.0
0,283,0.3408,0.1272,0.532,4.0,4.0,4.0,4.0
0,284,0.3478,0.1262,0.526,4.0,4.0,4.0,4.0
0,285,0.3485,0.1272,0.5243,4.0,4.0,4.0,4.0
0,286,0.3476,0.1282,0.5242,4.0,4.0,4.0,4.0
0,287,0.3463,0.125,0.5287,4.0,4.0,4.0,4.0
0,288,0.3467,0.1203,0.533,4.0,4.0,4.0,4.0
0,289,0.3495,0.1186,0.5319,4.0,4.0,4.0,4.0
0,290,0.3541,0.117,0.5289,4.0,4.0,4.0,4.0
0,291,0.3584,0.1137,0.5279,4.0,4.0,4.0,4.0
0,292,0.356,0.1164,0.5276,4.0,4.0,4.0,4.0
0,293,0.3545,0.1173,0.5282,4.0,4.0,4.0,4.0
0,294,0.3547,0.1163,0.529,4.0,4.0,4.0,4.0
0,295,0.354,0.1131,0.5329,4.0,4.0,4.0,4.0
0,296,0.3537,0.1122,0.5341,4.0,4.0,4.0,4.0
0,297,0.361,0.1088,0.5302,4.0,4.0,4.0,4.0
0,298,0.3694,0.1068,0.5238,4.0,4.0,4.0,4.0
0,299,0.3683,0.1086,0.5231,4.0,4.0,4.0,4.0
0,300,0.3657,0.1099,0.5244,4.0,4.0,4.0,4.0
0,301,0.3642,0.108,0.5278,4.0,4.0,4.0,4.0
0,302,0.3627,0.1083,0.529,4.0,4.0,4.0,4.0
0,303,0.3612,0.1112,0.5276,4.0,4.0,4.0,4.0
0,304,0.3595,0.1112,0.5293,4.0,4.0,4.0,4.0
0,305,0.3652,0.108,0.5268,4.0,4.0,4.0,4.0
0,306,0.3726,0.1078,0.5196,4.0,4.0,4.0,4.0
0,307,0.3722,0.1075,0.5203,4.0,4.0,4.0,4.0
0,308,0.3692,0.1104,0.5204,4.0,4.0,4.0,4.0
0,309,0.3701,0.1094,0.5205,4.0,4.0,4.0,4.0
0,310,0.374,0.1125,0.5135,4.0,4.0,4.0,4.0
0,311,0.3693,0.1137,0.517,4.0,4.0,4.0,4.0
0,312,0.3706,0.1129,0.5165,4.0,4.0,4.0,4.0
0,313,0.3707,0.1138,0.5155,4.0,4.0,4.0,4.0
0,314,0.3745,0.1162,0.5093,4.0,4.0,4.0,4.0
0,315,0.3786,0.1188,0.5026,4.0,4.0,4.0,4.0
0,316,0.369,0.1214,0.5096,4.0,4.0,4.0,4.0
0,317,0.366,0.1188,0.5152,4.0,4.0,4.0,4.0
0,318,0.3698,0.1191,0.5111,4.0,4.0,4.0,4.0
0,319,0.3678,0.1155,0.5167,4.0,4.0,4.0,4.0
0,320,0.3668,0.115,0.5182,4.0,4.0,4.0,4.0
0,321,0.3677,0.1156,0.5167,4.0,4.0,4.0,4.0
0,322,0.3635,0.1119,0.5246,4.0,4.0,4.0,4.0
0,323,0.3633,0.1082,0.5285,4.0,4.0,4.0,4.0
0,324,0.3596,0.1103,0.5301,4.0,4.0,4.0,4.0
0,325,0.3616,0.1091,0.5293,4.0,4.0,4.0,4.0
0,326,0.3629,0.1095,0.5276,4.0,4.0,4.0,4.0
